ENTIDAD,NOMBRE ENTIDAD,DISTRITO,DISTRITO LOCAL,MUNICIPIO,SECCION,Contest_id
9,CIUDAD DE MEXICO,1,1,5,941,7
9,CIUDAD DE MEXICO,1,1,5,942,7
9,CIUDAD DE MEXICO,1,1,5,943,7
9,CIUDAD DE MEXICO,1,1,5,944,7
9,CIUDAD DE MEXICO,1,1,5,945,7
9,CIUDAD DE MEXICO,1,1,5,946,7
9,CIUDAD DE MEXICO,1,1,5,947,7
9,CIUDAD DE MEXICO,1,1,5,948,7
9,CIUDAD DE MEXICO,1,1,5,949,7
9,CIUDAD DE MEXICO,1,1,5,950,7
9,CIUDAD DE MEXICO,1,1,5,951,7
9,CIUDAD DE MEXICO,1,1,5,952,7
9,CIUDAD DE MEXICO,1,1,5,953,7
9,CIUDAD DE MEXICO,1,1,5,954,7
9,CIUDAD DE MEXICO,1,1,5,955,7
9,CIUDAD DE MEXICO,1,1,5,956,7
9,CIUDAD DE MEXICO,1,1,5,957,7
9,CIUDAD DE MEXICO,1,1,5,966,7
9,CIUDAD DE MEXICO,1,1,5,967,7
9,CIUDAD DE MEXICO,1,1,5,968,7
9,CIUDAD DE MEXICO,1,1,5,969,7
9,CIUDAD DE MEXICO,1,1,5,976,7
9,CIUDAD DE MEXICO,1,1,5,1077,7
9,CIUDAD DE MEXICO,1,2,5,958,7
9,CIUDAD DE MEXICO,1,2,5,959,7
9,CIUDAD DE MEXICO,1,2,5,960,7
9,CIUDAD DE MEXICO,1,2,5,961,7
9,CIUDAD DE MEXICO,1,2,5,962,7
9,CIUDAD DE MEXICO,1,2,5,963,7
9,CIUDAD DE MEXICO,1,2,5,964,7
9,CIUDAD DE MEXICO,1,2,5,965,7
9,CIUDAD DE MEXICO,1,2,5,977,7
9,CIUDAD DE MEXICO,1,2,5,978,7
9,CIUDAD DE MEXICO,1,2,5,979,7
9,CIUDAD DE MEXICO,1,2,5,980,7
9,CIUDAD DE MEXICO,1,2,5,981,7
9,CIUDAD DE MEXICO,1,2,5,982,7
9,CIUDAD DE MEXICO,1,2,5,983,7
9,CIUDAD DE MEXICO,1,2,5,984,7
9,CIUDAD DE MEXICO,1,2,5,985,7
9,CIUDAD DE MEXICO,1,2,5,986,7
9,CIUDAD DE MEXICO,1,2,5,987,7
9,CIUDAD DE MEXICO,1,2,5,988,7
9,CIUDAD DE MEXICO,1,2,5,989,7
9,CIUDAD DE MEXICO,1,2,5,990,7
9,CIUDAD DE MEXICO,1,2,5,991,7
9,CIUDAD DE MEXICO,1,2,5,992,7
9,CIUDAD DE MEXICO,1,2,5,993,7
9,CIUDAD DE MEXICO,1,2,5,994,7
9,CIUDAD DE MEXICO,1,2,5,995,7
9,CIUDAD DE MEXICO,1,2,5,996,7
9,CIUDAD DE MEXICO,1,2,5,997,7
9,CIUDAD DE MEXICO,1,2,5,998,7
9,CIUDAD DE MEXICO,1,2,5,999,7
9,CIUDAD DE MEXICO,1,2,5,1000,7
9,CIUDAD DE MEXICO,1,2,5,1001,7
9,CIUDAD DE MEXICO,1,2,5,1002,7
9,CIUDAD DE MEXICO,1,2,5,1003,7
9,CIUDAD DE MEXICO,1,2,5,1004,7
9,CIUDAD DE MEXICO,1,2,5,1005,7
9,CIUDAD DE MEXICO,1,2,5,1006,7
9,CIUDAD DE MEXICO,1,2,5,1007,7
9,CIUDAD DE MEXICO,1,2,5,1008,7
9,CIUDAD DE MEXICO,1,2,5,1009,7
9,CIUDAD DE MEXICO,1,2,5,1010,7
9,CIUDAD DE MEXICO,1,2,5,1011,7
9,CIUDAD DE MEXICO,1,2,5,1012,7
9,CIUDAD DE MEXICO,1,2,5,1013,7
9,CIUDAD DE MEXICO,1,2,5,1014,7
9,CIUDAD DE MEXICO,1,2,5,1015,7
9,CIUDAD DE MEXICO,1,2,5,1016,7
9,CIUDAD DE MEXICO,1,2,5,1017,7
9,CIUDAD DE MEXICO,1,2,5,1018,7
9,CIUDAD DE MEXICO,1,2,5,1019,7
9,CIUDAD DE MEXICO,1,2,5,1020,7
9,CIUDAD DE MEXICO,1,2,5,1021,7
9,CIUDAD DE MEXICO,1,2,5,1022,7
9,CIUDAD DE MEXICO,1,2,5,1023,7
9,CIUDAD DE MEXICO,1,2,5,1024,7
9,CIUDAD DE MEXICO,1,2,5,1025,7
9,CIUDAD DE MEXICO,1,2,5,1026,7
9,CIUDAD DE MEXICO,1,2,5,1027,7
9,CIUDAD DE MEXICO,1,2,5,1028,7
9,CIUDAD DE MEXICO,1,2,5,1029,7
9,CIUDAD DE MEXICO,1,2,5,1030,7
9,CIUDAD DE MEXICO,1,2,5,1031,7
9,CIUDAD DE MEXICO,1,2,5,1032,7
9,CIUDAD DE MEXICO,1,2,5,1033,7
9,CIUDAD DE MEXICO,1,2,5,1034,7
9,CIUDAD DE MEXICO,1,2,5,1035,7
9,CIUDAD DE MEXICO,1,2,5,1071,7
9,CIUDAD DE MEXICO,1,2,5,1072,7
9,CIUDAD DE MEXICO,1,2,5,1073,7
9,CIUDAD DE MEXICO,1,2,5,1074,7
9,CIUDAD DE MEXICO,1,2,5,1075,7
9,CIUDAD DE MEXICO,1,2,5,1076,7
9,CIUDAD DE MEXICO,1,2,5,1078,7
9,CIUDAD DE MEXICO,1,4,5,970,7
9,CIUDAD DE MEXICO,1,4,5,971,7
9,CIUDAD DE MEXICO,1,4,5,972,7
9,CIUDAD DE MEXICO,1,4,5,973,7
9,CIUDAD DE MEXICO,1,4,5,974,7
9,CIUDAD DE MEXICO,1,4,5,975,7
9,CIUDAD DE MEXICO,2,2,5,1036,102
9,CIUDAD DE MEXICO,2,2,5,1037,102
9,CIUDAD DE MEXICO,2,2,5,1038,102
9,CIUDAD DE MEXICO,2,2,5,1039,102
9,CIUDAD DE MEXICO,2,2,5,1040,102
9,CIUDAD DE MEXICO,2,2,5,1041,102
9,CIUDAD DE MEXICO,2,2,5,1042,102
9,CIUDAD DE MEXICO,2,2,5,1043,102
9,CIUDAD DE MEXICO,2,2,5,1044,102
9,CIUDAD DE MEXICO,2,2,5,1046,102
9,CIUDAD DE MEXICO,2,2,5,1047,102
9,CIUDAD DE MEXICO,2,2,5,1048,102
9,CIUDAD DE MEXICO,2,2,5,1049,102
9,CIUDAD DE MEXICO,2,2,5,1050,102
9,CIUDAD DE MEXICO,2,2,5,1051,102
9,CIUDAD DE MEXICO,2,2,5,1052,102
9,CIUDAD DE MEXICO,2,2,5,1053,102
9,CIUDAD DE MEXICO,2,2,5,1054,102
9,CIUDAD DE MEXICO,2,2,5,1055,102
9,CIUDAD DE MEXICO,2,2,5,1056,102
9,CIUDAD DE MEXICO,2,2,5,1057,102
9,CIUDAD DE MEXICO,2,2,5,1058,102
9,CIUDAD DE MEXICO,2,2,5,1059,102
9,CIUDAD DE MEXICO,2,2,5,1060,102
9,CIUDAD DE MEXICO,2,2,5,1061,102
9,CIUDAD DE MEXICO,2,2,5,1062,102
9,CIUDAD DE MEXICO,2,2,5,1063,102
9,CIUDAD DE MEXICO,2,2,5,1064,102
9,CIUDAD DE MEXICO,2,2,5,1065,102
9,CIUDAD DE MEXICO,2,2,5,1066,102
9,CIUDAD DE MEXICO,2,2,5,1067,102
9,CIUDAD DE MEXICO,2,2,5,1068,102
9,CIUDAD DE MEXICO,2,2,5,1069,102
9,CIUDAD DE MEXICO,2,2,5,1070,102
9,CIUDAD DE MEXICO,2,2,5,1079,102
9,CIUDAD DE MEXICO,2,2,5,1080,102
9,CIUDAD DE MEXICO,2,2,5,1081,102
9,CIUDAD DE MEXICO,2,2,5,1082,102
9,CIUDAD DE MEXICO,2,2,5,1083,102
9,CIUDAD DE MEXICO,2,2,5,1084,102
9,CIUDAD DE MEXICO,2,2,5,1085,102
9,CIUDAD DE MEXICO,2,2,5,1086,102
9,CIUDAD DE MEXICO,2,2,5,1087,102
9,CIUDAD DE MEXICO,2,2,5,1088,102
9,CIUDAD DE MEXICO,2,2,5,1089,102
9,CIUDAD DE MEXICO,2,2,5,1090,102
9,CIUDAD DE MEXICO,2,2,5,1091,102
9,CIUDAD DE MEXICO,2,2,5,1092,102
9,CIUDAD DE MEXICO,2,2,5,1093,102
9,CIUDAD DE MEXICO,2,2,5,1094,102
9,CIUDAD DE MEXICO,2,2,5,1095,102
9,CIUDAD DE MEXICO,2,2,5,1096,102
9,CIUDAD DE MEXICO,2,2,5,1097,102
9,CIUDAD DE MEXICO,2,2,5,1098,102
9,CIUDAD DE MEXICO,2,2,5,1099,102
9,CIUDAD DE MEXICO,2,2,5,1100,102
9,CIUDAD DE MEXICO,2,2,5,1101,102
9,CIUDAD DE MEXICO,2,2,5,1102,102
9,CIUDAD DE MEXICO,2,2,5,1103,102
9,CIUDAD DE MEXICO,2,2,5,1104,102
9,CIUDAD DE MEXICO,2,2,5,1105,102
9,CIUDAD DE MEXICO,2,2,5,1106,102
9,CIUDAD DE MEXICO,2,2,5,1107,102
9,CIUDAD DE MEXICO,2,2,5,1108,102
9,CIUDAD DE MEXICO,2,2,5,1109,102
9,CIUDAD DE MEXICO,2,2,5,1110,102
9,CIUDAD DE MEXICO,2,2,5,1111,102
9,CIUDAD DE MEXICO,2,2,5,1112,102
9,CIUDAD DE MEXICO,2,2,5,1113,102
9,CIUDAD DE MEXICO,2,2,5,1114,102
9,CIUDAD DE MEXICO,2,2,5,1115,102
9,CIUDAD DE MEXICO,2,2,5,1116,102
9,CIUDAD DE MEXICO,2,2,5,1117,102
9,CIUDAD DE MEXICO,2,2,5,1118,102
9,CIUDAD DE MEXICO,2,2,5,1119,102
9,CIUDAD DE MEXICO,2,2,5,1120,102
9,CIUDAD DE MEXICO,2,2,5,1121,102
9,CIUDAD DE MEXICO,2,2,5,1122,102
9,CIUDAD DE MEXICO,2,2,5,1123,102
9,CIUDAD DE MEXICO,2,2,5,1124,102
9,CIUDAD DE MEXICO,2,2,5,1125,102
9,CIUDAD DE MEXICO,2,2,5,1126,102
9,CIUDAD DE MEXICO,2,2,5,1127,102
9,CIUDAD DE MEXICO,2,2,5,1128,102
9,CIUDAD DE MEXICO,2,2,5,1129,102
